code,description
i2620,"Bolt-action rifle with a cracked wooden stock"
i6713,"Massive steel gearbox housing from a locomotive engine"
i2891,"Handful of ceramic capacitors and resistors in an old tobacco tin"
i5237,"Worn-out clutch plate from agricultural machinery"
i9217,"Reactor fuel cassette with depleted core, suitable for reprocessing"
i4917,"Reactor fuel cassette marked as fresh, sealed in lead-lined transport container"
i7029,"Steel combat knife with serrated edge and cracked handle"
i8827,"Stun baton with cracked insulation and exposed wiring"
i7753,"Large electromagnetic coil wound with heavy-gauge copper wire"
i8095,"Soldering iron with hand-carved wooden grip, surprisingly effective"
